level_0,index,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
6650,6650,2022-12-30,N,South Carolina,SEC,Eastern Michigan,H,"W, 74-64",106.8,103.9,63.7,116.2,50.8,14.1,47.4,27,100.5,47.6,12.6,26.3,14.3,58,8
8333,8333,2022-12-30,N,Prairie View A&M,SWAC,Texas A&M,A,"L, 86-66",102.6,109.7,71,92.9,48.3,22.5,27.8,16.7,121.1,62,23.9,34.6,56,31.6,-14
7994,7994,2022-12-30,N,Southeastern Louisia,Slnd,Vanderbilt,A,"L, 93-55",85.2,116,69.2,79.5,34.6,13,26.1,23.1,134.4,57.5,10.1,41,15.1,2.8,-16
7744,7744,2022-12-30,C,North Alabama,ASun,Jacksonville St.,A,"W, 66-62",103.8,94.6,64.9,101.8,44,10.8,22,32.8,95.6,43.2,12.3,34.1,18.2,74.5,6
6766,6766,2022-12-30,C,Siena,MAAC,Quinnipiac,A,"W, 83-76",114.8,109.2,71,116.9,54.8,9.9,23.3,31.7,107,51.6,15.5,34.3,29,64,-1
8719,8719,2022-12-30,C,Lehigh,Pat,Army,A,"L, 80-78",108.9,125.9,66.8,116.7,55.7,10.5,22.9,26.2,119.7,65.7,15,16,37.3,15.9,-9
5655,5655,2022-12-30,C,Quinnipiac,MAAC,Siena,H,"L, 83-76",108.9,120,71,107,51.6,15.5,34.3,29,116.9,54.8,9.9,23.3,31.7,24.6,1
9280,9280,2022-12-30,N,Chicago St.,ind,Ohio,A,"L, 76-59",76.3,100.6,73.2,80.6,36.5,23.2,31.9,31.7,103.8,48.3,10.9,18.4,42.4,4,-16
9566,9566,2022-12-30,N,Eastern Michigan,MAC,South Carolina,A,"L, 74-64",98.4,117.8,63.7,100.5,47.6,12.6,26.3,14.3,116.2,50.8,14.1,47.4,27,11.2,-8
7340,7340,2022-12-30,C,Army,Pat,Lehigh,H,"W, 80-78",121.2,121,66.8,119.7,65.7,15,16,37.3,116.7,55.7,10.5,22.9,26.2,50.6,9
1165,1165,2022-12-30,N,Rutgers,B10,Coppin St.,H,"W, 90-57",101.7,81.7,77.8,115.7,51.3,14.1,39.5,24,73.3,39.3,19.3,2.7,30.4,92.6,17
10999,10999,2022-12-30,N,Hartford,ind,Morgan St.,H,"L, 61-54",73.8,99.1,70.5,76.6,40.6,31.2,28.1,39.6,86.6,43.4,31.2,41.7,43.4,3.3,-5
2741,2741,2022-12-30,C,Pittsburgh,ACC,North Carolina,H,"W, 76-74",111.1,100.6,71.5,106.3,50,11.2,18.9,27,103.5,49.1,15.4,23.5,36.2,75.9,-4
10463,10463,2022-12-30,N,Coppin St.,MEAC,Rutgers,A,"L, 90-57",88.1,111.8,77.8,73.3,39.3,19.3,2.7,30.4,115.7,51.3,14.1,39.5,24,6,-17
1642,1642,2022-12-30,C,Washington St.,P12,UCLA,H,"L, 67-66",122.6,95.5,64.1,103,50,21.8,36.4,21.4,104.6,39.7,9.4,26.3,37.9,94.6,5
8472,8472,2022-12-30,C,Marist,MAAC,Fairfield,A,"L, 73-54",81.4,104.1,70.3,76.8,39.4,28.5,30.3,32.7,103.9,47.5,11.4,18.9,33.3,5.6,-4
10343,10343,2022-12-30,C,Holy Cross,Pat,Bucknell,H,"W, 60-58",87.8,88.8,67.2,89.3,47.5,11.9,13.5,13.3,86.3,38.3,14.9,23.7,23.3,46.6,6
4530,4530,2022-12-30,C,Notre Dame,ACC,Miami FL,H,"L, 76-65",98.4,99.6,67.4,96.4,52.7,25.2,25.8,12.5,112.7,55.3,13.4,28.1,35.1,46.3,-5
9239,9239,2022-12-30,C,Boston University,Pat,Navy,H,"L, 75-58",96,122.2,62.3,93.1,41.9,14.4,37.8,22.6,120.4,54,16.1,25,46,5.9,-6
88,88,2022-12-30,C,UCLA,P12,Washington St.,A,"W, 67-66",110.8,97.3,64.1,104.6,39.7,9.4,26.3,37.9,103,50,21.8,36.4,21.4,81.6,-5
8144,8144,2022-12-30,C,North Dakota,Sum,North Dakota St.,H,"L, 71-49",75.2,113.2,63.6,77.1,34,12.6,17.9,39.6,111.7,57.4,18.9,31,24.1,0.9,-12
970,970,2022-12-30,N,Michigan St.,B10,Buffalo,H,"W, 89-68",113.5,95.7,75,118.7,57.6,13.3,25,50.8,90.7,46.2,18.7,24.4,15.2,87.8,8
8238,8238,2022-12-30,C,Lafayette,Pat,American,H,"L, 60-47",64.7,101,64.9,72.5,41.3,23.1,16.7,15.4,92.5,65.7,40.1,35,65.7,0.6,-13
1284,1284,2022-12-30,C,USC,P12,Washington,A,"W, 80-67",119.5,98,69.8,114.7,50,22.9,56.2,34.4,96,39,18.6,42.2,26.5,90.7,3
1596,1596,2022-12-30,C,North Carolina St.,ACC,Clemson,A,"L, 78-64",100.6,101.1,70.5,90.8,36.8,11.4,29.2,26.5,110.7,46.7,9.9,22.9,40,48.6,-5
9746,9746,2022-12-30,C,Loyola MD,Pat,Colgate,H,"L, 101-67",97.8,138.6,67.8,98.9,52.6,22.1,24.2,12.1,149,79.3,13.3,25,19,1.8,-18
6163,6163,2022-12-30,C,Navy,Pat,Boston University,A,"W, 75-58",115.8,103,62.3,120.4,54,16.1,25,46,93.1,41.9,14.4,37.8,22.6,79.3,6
1239,1239,2022-12-30,C,Miami FL,ACC,Notre Dame,A,"W, 76-65",110.5,93,67.4,112.7,55.3,13.4,28.1,35.1,96.4,52.7,25.2,25.8,12.5,87.9,5
1265,1265,2022-12-30,C,North Carolina,ACC,Pittsburgh,A,"L, 76-74",107.6,94.4,71.5,103.5,49.1,15.4,23.5,36.2,106.3,50,11.2,18.9,27,81.7,4
9551,9551,2022-12-30,C,Manhattan,MAAC,Saint Peter's,A,"L, 67-57",77,104,70.6,80.8,44.8,24.1,18.8,52.1,94.9,48.4,21.3,28.2,14.5,3.1,-9
5838,5838,2022-12-30,N,Buffalo,MAC,Michigan St.,A,"L, 89-68",102.9,105.7,75,90.7,46.2,18.7,24.4,15.2,118.7,57.6,13.3,25,50.8,42.1,-8
10058,10058,2022-12-30,N,Western Michigan,MAC,Wisconsin,A,"L, 76-66",126.1,131.6,57.3,115.2,56.1,12.2,30,8.8,132.7,63,7,23.3,24.1,38.1,-9
10570,10570,2022-12-30,C,Houston Christian,Slnd,New Orleans,H,"W, 101-96",109.1,123.9,75,119.6,63.3,22.5,33.3,35.9,113.7,64.8,23.7,29.4,35.9,18.9,1
2476,2476,2022-12-30,N,Wisconsin,B10,Western Michigan,H,"W, 76-66",119.4,118.3,57.3,132.7,63,7,23.3,24.1,115.2,56.1,12.2,30,8.8,52.5,9
2323,2323,2022-12-30,N,Vanderbilt,SEC,Southeastern Louisia,H,"W, 93-55",121.1,86.3,69.2,134.4,57.5,10.1,41,15.1,79.5,34.6,13,26.1,23.1,98,16
245,245,2022-12-31,C,San Diego St.,MWC,UNLV,A,"W, 76-67",115.2,91.1,70.5,107.8,55.9,31.2,48.3,52.9,95.1,45,21.3,34.2,25,93.7,6
4813,4813,2022-12-31,C,Georgia Tech,ACC,Virginia,H,"L, 74-56",93.7,108.2,65.4,85.6,52.2,35.2,28.6,28.9,113.2,56.1,16.8,33.3,28.1,16,-11
6691,6691,2022-12-31,C,Massachusetts,A10,St. Bonaventure,A,"L, 83-64",96.9,124.5,68.5,93.5,43.9,24.8,38.2,63.3,121.2,59.8,16.1,25.8,18,5.3,-12
11024,11024,2022-12-31,C,LIU Brooklyn,NEC,Sacred Heart,H,"L, 82-64",80.5,118.6,75.3,85,38.8,17.3,27.3,22.4,108.9,55.8,18.6,25,33.3,1.1,-8
10037,10037,2022-12-31,C,Stonehill,NEC,St. Francis PA,A,"L, 73-72",97.6,109.9,67.9,106,56.9,11.8,6.7,43.1,107.5,52.8,19.1,30,45.3,20.3,0
10889,10889,2022-12-31,C,St. Francis NY,NEC,Central Connecticut,A,"L, 74-52",72,108,70.6,73.6,30.5,21.2,26.7,32.2,104.8,54.1,19.8,29.4,18,0.9,-7
6152,6152,2022-12-31,C,Abilene Christian,WAC,Tarleton St.,H,"W, 69-63",97.2,89.3,72.3,95.4,48,22.1,27.3,63.3,87.1,47.9,29,16.7,43.8,72.4,3
6715,6715,2022-12-31,C,Bryant,AE,Binghamton,H,"W, 82-78",103.3,115.8,73.6,111.4,53.8,14.9,20.7,59.6,105.9,43.1,10.9,29.5,25,21.3,-1
7174,7174,2022-12-31,C,UC San Diego,BW,UC Santa Barbara,A,"L, 82-61",102.5,113.3,63.7,95.8,55.3,25.1,25,29.8,128.7,62.5,15.7,33.3,16.7,24,-3
4406,4406,2022-12-31,C,Samford,SC,The Citadel,A,"W, 75-63",102.1,98.2,68.9,108.9,48.9,20.3,27.6,72.3,91.5,42.2,13.1,15,27.6,60.9,6
214,214,2022-12-31,C,Gonzaga,WCC,Pepperdine,H,"W, 111-88",124.1,107.4,85.1,130.4,67.5,12.9,25,18.2,103.4,56.7,20,21.2,23.9,84,9
6847,6847,2022-12-31,C,Rider,MAAC,Canisius,A,"W, 66-64",97.9,98.2,66.2,99.7,44.8,22.7,40,31,96.7,49.2,10.6,23.8,12.5,48.8,1
10096,10096,2022-12-31,C,St. Francis PA,NEC,Stonehill,H,"W, 73-72",102.1,119.8,67.9,107.5,52.8,19.1,30,45.3,106,56.9,11.8,6.7,43.1,13.7,0
1543,1543,2022-12-31,C,North Texas,CUSA,FIU,H,"W, 72-57",120.8,98.5,58.9,122.3,62,27.2,48,39.1,96.8,51,27.2,36.4,26.5,91.3,11
4425,4425,2022-12-31,C,Wyoming,MWC,New Mexico,H,"L, 76-75",108.7,97.4,70.5,106.4,56.4,18.4,24.2,36.4,107.8,50.8,15.6,27,32.8,77.8,3
6755,6755,2022-12-31,C,Northern Arizona,BSky,Weber St.,A,"L, 76-60",100.5,112.8,66.5,90.3,50.9,24.1,21.9,13,114.4,63,19.6,17.4,32,21,-1
8023,8023,2022-12-31,C,Louisiana Monroe,SB,Arkansas St.,A,"W, 84-72",126.1,116.2,64.5,130.2,64.9,18.6,41.4,31.6,111.6,55.9,20.1,35.7,39.2,71.9,7
8053,8053,2022-12-31,C,Southeast Missouri S,OVC,SIU Edwardsville,H,"W, 82-73",112.7,110.1,70.7,115.9,54.5,11.3,22.6,50,103.2,50,22.6,31.2,69.4,56.8,6
4773,4773,2022-12-31,C,Cal Baptist,WAC,Seattle,A,"L, 71-65",97.8,105.6,69.9,93,48.2,17.2,16.7,30.4,101.6,54.4,18.6,19.4,21.1,29.3,-5
10946,10946,2022-12-31,C,IUPUI,Horz,Northern Kentucky,H,"L, 55-42",71.3,98.4,58.3,72.1,40.2,34.3,25.9,24.4,94.4,43.2,8.6,24.4,13.6,2.4,-10
159,159,2022-12-31,C,Connecticut,BE,Xavier,A,"L, 83-73",107.9,95.2,73.8,98.9,51.5,21.7,32.5,13.4,112.5,57.7,16.3,13.8,53.8,81,-2
14,14,2022-12-31,C,Houston,Amer,UCF,H,"W, 71-65",119.8,100.2,62.7,113.2,42.2,12.8,45.2,32.8,103.6,44.4,20.7,38.9,37,88.6,4
10966,10966,2022-12-31,C,Green Bay,Horz,Oakland,A,"L, 81-65",89.7,119.1,68.6,94.8,45.7,20.4,25,22.4,118.1,59.1,13.1,24,34.5,3.7,-10
7044,7044,2022-12-31,C,Campbell,BSth,Longwood,H,"L, 67-42",67.6,106.3,63.5,66.1,31.9,33.1,32.4,38.3,105.5,49.1,20.5,40,37,0.6,-13
6871,6871,2022-12-31,C,Detroit,Horz,Milwaukee,H,"L, 84-81",109.2,128,69.6,116.3,51.5,11.5,30.8,22.4,120.6,61,14.4,23.3,25.4,13.9,-6
10601,10601,2022-12-31,C,Hampton,CAA,UNC Wilmington,A,"L, 82-65",101.7,124.6,66.9,97.1,48.1,20.9,24.2,36.5,122.5,67.4,22.4,28.6,54.3,8.8,-10
4935,4935,2022-12-31,C,UC Riverside,BW,Long Beach St.,A,"W, 73-72",99.9,96.6,73.8,98.9,50.8,14.9,11.1,30.5,97.5,44.9,10.8,27.3,24.6,59.6,-2
698,698,2022-12-31,C,Duke,ACC,Florida St.,H,"W, 86-67",121.4,102.5,67.4,127.5,60.5,13.3,34.5,35.1,99.4,46.9,19.3,18.5,53.1,87.4,9
6509,6509,2022-12-31,C,San Diego,WCC,San Francisco,A,"W, 80-68",112.7,95.3,70.4,113.7,48.1,12.8,23.3,62.3,96.6,47.5,18.5,27.5,28.3,87.4,0
4883,4883,2022-12-31,C,Northern Kentucky,Horz,IUPUI,A,"W, 55-42",85.7,75.9,58.3,94.4,43.2,8.6,24.4,13.6,72.1,40.2,34.3,25.9,24.4,80.2,10
10283,10283,2022-12-31,C,Presbyterian,BSth,Radford,A,"L, 69-51",87.9,110.7,60.5,84.2,43.5,23.1,25,39.1,114,55.8,19.8,38.7,34.6,6.5,-8
6318,6318,2022-12-31,C,Florida Gulf Coast,ASun,Jacksonville,H,"W, 72-65",113.5,119.4,59.9,120.1,54.6,13.3,32.3,29.6,108.4,52.7,16.7,27.3,16.4,35.7,-4
6979,6979,2022-12-31,C,Mercer,SC,Chattanooga,H,"L, 80-51",77.8,113.4,66.7,76.5,36.3,21,31,12.9,120,61.1,15,22.6,37,1.3,-11
10560,10560,2022-12-31,C,Albany,AE,New Hampshire,H,"L, 67-51",77.8,126.2,60.3,84.5,38,21.5,35.9,33.3,111,53.7,16.6,35.3,27.8,0.4,-16
8146,8146,2022-12-31,C,California,P12,Colorado,H,"W, 80-76",127.9,101,71.6,111.8,65,29.3,41.7,40,106.2,50.8,12.6,25.7,21.2,93.8,11
756,756,2022-12-31,C,Utah St.,MWC,Fresno St.,H,"W, 67-54",101.2,86.7,66,101.5,51.1,24.2,32.1,58.7,81.8,41.2,19.7,12.5,25.5,85.5,3
6479,6479,2022-12-31,C,La Salle,A10,VCU,A,"L, 80-67",106,100.1,74.9,89.4,44.5,24,34.2,18.8,106.8,54.7,20,32.4,23.4,65.8,-1
7088,7088,2022-12-31,C,North Florida,ASun,Austin Peay,H,"W, 90-85",109.2,128.3,66.6,120.1,52.2,13.3,34.1,41.2,113.4,53,8,21.6,23.9,13.6,-3
6351,6351,2022-12-31,C,Queens,ASun,Eastern Kentucky,A,"L, 88-83",112.9,117.5,75.6,109.8,48.6,15.9,32.6,18.1,116.4,54.3,15.9,37.5,24.3,38.9,-5
823,823,2022-12-31,C,TCU,B12,Texas Tech,H,"W, 67-61",92.3,82.4,73.5,91.1,41.9,20.4,35,32.3,83,50,31.3,28.1,34.6,78.8,-4
7199,7199,2022-12-31,C,UT Arlington,WAC,Stephen F. Austin,H,"L, 66-62",103.4,106.6,61.8,100.3,42.1,17.8,39.5,33.3,106.8,47.3,12.9,30.3,28.6,41.3,0
833,833,2022-12-31,N,Kentucky,SEC,Louisville,H,"W, 86-63",124.1,103.5,64.4,133.5,63.6,18.6,55.6,45.5,97.8,48.9,23.3,30.8,48.9,89,12
7010,7010,2022-12-31,C,Northwestern St.,Slnd,Texas A&M Corpus Chr,H,"L, 65-59",85.6,97.2,66.6,88.7,40.9,13.5,26.1,13.6,97.7,40.7,15,32.4,50,18.8,-3
7068,7068,2022-12-31,C,Rice,CUSA,UTEP,A,"W, 72-67",94.4,85,72.2,88.7,44.4,22.2,25,36.5,82.5,43.8,22.2,25,30.8,77,4
10361,10361,2022-12-31,C,Columbia,Ivy,Yale,H,"W, 62-60",100.8,83.5,67.1,92.4,40.8,14.9,28.9,18.5,89.4,41.7,14.9,28.6,30,89.6,7
4598,4598,2022-12-31,C,Long Beach St.,BW,UC Riverside,H,"L, 73-72",96.6,97.5,73.8,97.5,44.9,10.8,27.3,24.6,98.9,50.8,14.9,11.1,30.5,47.1,2
868,868,2022-12-31,C,Virginia,ACC,Georgia Tech,A,"W, 74-56",116.4,85.3,65.4,113.2,56.1,16.8,33.3,28.1,85.6,52.2,35.2,28.6,28.9,97.3,11
10486,10486,2022-12-31,C,Central Connecticut,NEC,St. Francis NY,H,"W, 74-52",94.4,90.4,70.6,104.8,54.1,19.8,29.4,18,73.6,30.5,21.2,26.7,32.2,62.1,7
1020,1020,2022-12-31,C,Oklahoma St.,B12,Kansas,A,"L, 69-67",126.6,98.9,62,108.1,54.6,21,29.4,20.4,111.3,56.2,19.4,33.3,17.9,94.4,4
4910,4910,2022-12-31,C,Youngstown St.,Horz,Fort Wayne,H,"L, 76-71",100.7,116.9,68.7,103.4,43.3,14.6,34.1,23.9,110.7,64.3,17.5,16.7,17.9,15.3,-3
10414,10414,2022-12-31,C,Lindenwood,OVC,Tennessee Tech,H,"W, 82-64",105.4,98.3,70.8,115.8,62.7,19.8,21.4,27.3,90.4,35.8,8.5,24.5,32.8,69.1,6
6408,6408,2022-12-31,C,Florida St.,ACC,Duke,A,"L, 86-67",113.2,115.4,67.4,99.4,46.9,19.3,18.5,53.1,127.5,60.5,13.3,34.5,35.1,44.5,-9
681,681,2022-12-31,C,Kansas St.,B12,West Virginia,H,"W, 82-76",103.8,87.3,72.1,101.1,44.2,13.6,32.6,49.3,93.7,44.4,24.7,48.8,60.3,88,-3
289,289,2022-12-31,C,Arizona,P12,Arizona St.,A,"W, 69-60",111.2,80.5,70.5,97.8,42.5,18.4,28.6,52.8,85.1,38.4,12.8,24.4,14.5,97.6,9
7107,7107,2022-12-31,C,Loyola Chicago,A10,George Washington,H,"L, 97-87",115.6,132.1,70.6,123.3,58.1,14.2,35.3,16.2,137.5,74,22.7,40,50,17.7,-4
4660,4660,2022-12-31,C,Portland,WCC,BYU,A,"L, 71-58",95.5,98.9,66.9,86.7,43.8,16.4,19.4,56.2,106.1,58.2,28.4,29.6,38.8,40.1,-5
6201,6201,2022-12-31,C,Weber St.,BSky,Northern Arizona,H,"W, 76-60",101.2,95.2,66.5,114.4,63,19.6,17.4,32,90.3,50.9,24.1,21.9,13,66.8,1
309,309,2022-12-31,C,Texas,B12,Oklahoma,A,"W, 70-69",117.4,100.4,64.9,107.8,47.4,16.9,35.3,27.6,106.3,56.5,23.1,30,20.4,85.8,-1
338,338,2022-12-31,C,Kansas,B12,Oklahoma St.,H,"W, 69-67",121.5,108.6,62,111.3,56.2,19.4,33.3,17.9,108.1,54.6,21,29.4,20.4,78.3,-4
4732,4732,2022-12-31,C,Appalachian St.,SB,Southern Miss,A,"L, 76-70",111.4,108.9,66.8,104.8,53.7,22.5,24.1,24.1,113.8,55.8,15,28.1,50,56.3,-3
10131,10131,2022-12-31,C,Incarnate Word,Slnd,Texas A&M Commerce,A,"L, 82-74",93.9,113.4,65.9,99.8,44.4,12.1,22.5,38.7,110.6,55.4,20.2,28.1,48.2,10.2,-4
1445,1445,2022-12-31,C,UAB,CUSA,UTSA,H,"W, 90-67",121.3,102.8,68.7,131.1,58.2,16,45.7,41,97.6,40.8,18.9,34.1,36.7,87,12
4727,4727,2022-12-31,C,Troy,SB,Texas St.,A,"W, 55-52",80.7,78.2,66.8,82.3,44,20.9,14.8,30,77.8,36.6,25.4,45.5,32.1,58.8,-1
6888,6888,2022-12-31,C,Oregon St.,P12,Oregon,A,"L, 77-68",122,116.1,59.5,114.2,55,11.8,15.4,30,129.4,52.6,13.4,50,40.4,63.9,-5
10794,10794,2022-12-31,C,Lamar,Slnd,McNeese St.,H,"L, 81-62",86.8,130.7,65.8,94.2,46.6,21.3,18.8,63.6,123.1,61.1,18.2,37.1,14.3,0.9,-10
389,389,2022-12-31,C,Baylor,B12,Iowa St.,A,"L, 77-62",110.6,101.7,68.2,90.9,42.5,27.9,39.4,43.4,112.9,59.6,22,34.5,38.5,72.3,-2
10147,10147,2022-12-31,C,Austin Peay,ASun,North Florida,A,"L, 90-85",108.2,111.3,66.6,113.4,53,8,21.6,23.9,120.1,52.2,13.3,34.1,41.2,42.1,3
10774,10774,2022-12-31,C,VMI,SC,East Tennessee St.,H,"L, 64-50",76.6,104.4,63.9,78.3,38.3,15.7,22,13.3,100.2,50,15.7,31.4,38.9,2.8,-7
6229,6229,2022-12-31,C,Gardner Webb,BSth,High Point,A,"W, 80-73",104.6,105.7,72.2,110.8,52.3,15.2,34.2,29.7,101.1,40.6,12.5,34,34.8,46.8,2
453,453,2022-12-31,C,Marquette,BE,Villanova,A,"W, 68-66",113.5,98.4,62.3,109.1,56.1,12.8,18.2,12.3,105.9,52.6,20.9,34.4,12.3,83.8,-2
6597,6597,2022-12-31,C,New Mexico St.,WAC,Sam Houston St.,H,"L, 75-62",104.9,122.4,63.1,98.2,55.4,23.8,22.2,39.1,118.8,65,20.6,25,24,14.4,-12
7139,7139,2022-12-31,C,Jacksonville,ASun,Florida Gulf Coast,A,"L, 72-65",112.6,115,59.9,108.4,52.7,16.7,27.3,16.4,120.1,54.6,13.3,32.3,29.6,44,4
10193,10193,2022-12-31,C,The Citadel,SC,Samford,H,"L, 75-63",89.8,105.9,68.9,91.5,42.2,13.1,15,27.6,108.9,48.9,20.3,27.6,72.3,13.1,-6
1342,1342,2022-12-31,C,Oregon,P12,Oregon St.,H,"W, 77-68",129.7,123.4,59.5,129.4,52.6,13.4,50,40.4,114.2,55,11.8,15.4,30,64,5
512,512,2022-12-31,C,Xavier,BE,Connecticut,H,"W, 83-73",120.4,89.9,73.8,112.5,57.7,16.3,13.8,53.8,98.9,51.5,21.7,32.5,13.4,96.7,2
10213,10213,2022-12-31,C,Stony Brook,CAA,Northeastern,A,"W, 65-61",95.7,94.4,67.3,96.6,47,14.9,15.6,46,90.7,42.6,16.4,26.8,26.2,54,5
4482,4482,2022-12-31,C,Eastern Kentucky,ASun,Queens,H,"W, 88-83",111.2,108.1,75.6,116.4,54.3,15.9,37.5,24.3,109.8,48.6,15.9,32.6,18.1,58.2,5
588,588,2022-12-31,C,West Virginia,B12,Kansas St.,A,"L, 82-76",109.3,90.8,72.1,93.7,44.4,24.7,48.8,60.3,101.1,44.2,13.6,32.6,49.3,89.3,3
611,611,2022-12-31,C,Iowa St.,B12,Baylor,H,"W, 77-62",110.8,82.3,68.2,112.9,59.6,22,34.5,38.5,90.9,42.5,27.9,39.4,43.4,96.8,2
6276,6276,2022-12-31,C,Morehead St.,OVC,Tennessee Martin,A,"L, 64-57",84.2,92.1,68,83.9,34.6,17.7,18.9,44.2,94.2,42.4,11.8,21.1,32.2,26.3,3
7948,7948,2022-12-31,C,SIU Edwardsville,OVC,Southeast Missouri S,A,"L, 82-73",100.8,119.5,70.7,103.2,50,22.6,31.2,69.4,115.9,54.5,11.3,22.6,50,12.4,-6
6289,6289,2022-12-31,C,FIU,CUSA,North Texas,A,"L, 72-57",106,117.2,58.9,96.8,51,27.2,36.4,26.5,122.3,62,27.2,48,39.1,24,-11
10245,10245,2022-12-31,C,Sacred Heart,NEC,LIU Brooklyn,A,"W, 82-64",96.6,103.3,75.3,108.9,55.8,18.6,25,33.3,85,38.8,17.3,27.3,22.4,31.6,8
10623,10623,2022-12-31,C,Eastern Illinois,OVC,Southern Indiana,H,"W, 91-80",112.9,110.9,74.4,122.3,68.2,20.2,23.1,41.8,107.5,51.7,22.8,37.1,39,55.2,7
6462,6462,2022-12-31,C,Northern Iowa,MVC,Illinois St.,A,"W, 66-60",86.1,82.9,74.5,88.6,47.1,14.8,8.8,51.9,80.5,45.4,26.8,11.8,24.1,60.8,4
8655,8655,2022-12-31,C,Illinois Chicago,MVC,Bradley,A,"L, 79-45",75.9,109.6,67.6,66.6,30.2,20.7,27.3,24.1,116.9,59.6,14.8,22.6,31.6,1.4,-16
2676,2676,2022-12-31,C,Bradley,MVC,Illinois Chicago,H,"W, 79-45",108.9,75.2,67.6,116.9,59.6,14.8,22.6,31.6,66.6,30.2,20.7,27.3,24.1,98.6,16
2069,2069,2022-12-31,C,Villanova,BE,Marquette,H,"L, 68-66",114,95.9,62.3,105.9,52.6,20.9,34.4,12.3,109.1,56.1,12.8,18.2,12.3,88,2
9220,9220,2022-12-31,C,Western Illinois,Sum,South Dakota,A,"L, 80-63",87.5,115.7,68.7,91.7,41.7,20.4,29.4,46.3,116.4,60.7,16,24.1,28.6,3.9,-8
8502,8502,2022-12-31,C,Denver,Sum,Oral Roberts,H,"L, 80-62",88.3,100.4,73,84.9,42.9,21.9,28.2,46.4,109.6,53.1,11,17.1,18.5,18.5,-8
8391,8391,2022-12-31,N,Louisville,ACC,Kentucky,A,"L, 86-63",105.6,117.1,64.4,97.8,48.9,23.3,30.8,48.9,133.5,63.6,18.6,55.6,45.5,23.4,-12
5947,5947,2022-12-31,C,St. Thomas,Sum,South Dakota St.,A,"L, 71-64",91.1,100,70.6,90.7,46.2,21.2,20.6,41.5,100.6,50.8,12.7,17.6,16.1,25.7,-4
7835,7835,2022-12-31,C,Sacramento St.,BSky,Portland St.,H,"W, 74-63",100.3,103.2,66.8,110.7,53.6,23.9,40,33.9,94.3,44.8,16.5,24.3,24.1,41.8,-4
2884,2884,2022-12-31,C,Marshall,SB,James Madison,H,"L, 72-66",90.9,98.5,73.9,89.2,44.4,17.6,27.9,33.3,97.4,57.8,23,16.7,45.1,28.5,-5
2109,2109,2022-12-31,C,VCU,A10,La Salle,H,"W, 80-67",98.8,95.8,74.9,106.8,54.7,20,32.4,23.4,89.4,44.5,24,34.2,18.8,58.8,1
5634,5634,2022-12-31,C,Louisiana Tech,CUSA,Charlotte,A,"L, 68-66",102.4,101.8,65.4,100.9,51.8,15.3,21.9,21.1,104,61.1,22.9,14.3,37.8,51.7,-4
9718,9718,2022-12-31,C,Nebraska Omaha,Sum,UMKC,H,"L, 75-59",94.2,128.5,62.6,94.2,51.1,20.8,11.5,33.3,119.8,67.4,27.2,36.4,37,2.7,-3
7337,7337,2022-12-31,C,Delaware,CAA,Elon,H,"W, 57-52",81.1,87.8,64.8,87.9,43.5,21.6,27,27.8,80.2,39.4,24.7,23.5,42.6,28.6,1
2130,2130,2022-12-31,C,Utah,P12,Stanford,A,"W, 71-66",114,88.2,65.4,108.6,65,24.5,5.3,57.5,101,49.2,9.2,22.5,12.5,95,8
7518,7518,2022-12-31,C,Robert Morris,Horz,Cleveland St.,H,"L, 63-54",81.8,95.2,66.3,81.4,45,25.6,21.2,32,95,47.2,13.6,15.2,32.1,14.8,-4
2838,2838,2022-12-31,C,Wake Forest,ACC,Virginia Tech,H,"W, 77-75",109.9,99.3,70.2,109.7,45.2,10,31.8,41.3,106.9,50.8,18.5,27.3,32.2,76.2,2
5121,5121,2022-12-31,C,Montana,BSky,Idaho,H,"W, 67-56",99.4,91.8,62.5,107.2,49.1,9.6,20.6,20.7,89.6,41.3,17.6,20,56.5,71.3,9
7534,7534,2022-12-31,C,Idaho St.,BSky,Northern Colorado,H,"W, 90-83",101.7,103.2,72.4,110.5,46.8,9.8,16.7,55.6,101.9,45.3,14.7,25.6,50,46,2
5052,5052,2022-12-31,C,Pacific,WCC,Loyola Marymount,H,"W, 78-72",105.1,92.8,74.7,104.5,54.8,24.1,25.9,46.2,96.4,45.2,17.4,29.7,37.1,80.7,6
5616,5616,2022-12-31,C,UTEP,CUSA,Rice,H,"L, 72-67",76.3,89.2,72.2,82.5,43.8,22.2,25,30.8,88.7,44.4,22.2,25,36.5,14.1,-4
2041,2041,2022-12-31,C,Colorado,P12,California,A,"L, 80-76",102.6,125.2,71.6,106.2,50.8,12.6,25.7,21.2,111.8,65,29.3,41.7,40,9.2,-11
9138,9138,2022-12-31,C,Charleston Southern,BSth,USC Upstate,H,"W, 90-85",129.3,132,68.7,131.1,51.6,14.6,45.9,50.8,123.8,63.2,16,25.9,28.1,44.1,4
1970,1970,2022-12-31,C,Dayton,A10,Davidson,A,"W, 69-55",114.2,87.7,60.9,113.3,51.1,11.5,32.1,63.8,90.3,40.4,4.9,12.8,28.1,95.4,7
